Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
19116	0.58405	12.44005	94.80523	9.8982	113.28101	717.20609
19117	0.5735	12.21546	93.09366	9.7195	111.23589	704.25798
19118	0.57608	12.27033	93.51182	9.76316	111.73554	707.42137
19119	0.58046	12.36371	94.22345	9.83745	112.58586	712.80494
19120	0.56693	12.07542	92.02642	9.60807	109.96067	696.18428
19121	0.57186	12.18034	92.82604	9.69156	110.91612	702.23345
19122	0.5937	12.64569	96.37243	10.06182	115.15363	729.06202
19123	0.60062	12.79313	97.49605	10.17913	116.49622	737.56225
19124	0.57424	12.23123	93.21387	9.73205	111.37953	705.1674
19125	0.57321	12.20926	93.04645	9.71457	111.17948	703.90085
19126	0.57458	12.23829	93.26763	9.73766	111.44376	705.57405
19127	0.58924	12.55058	95.64765	9.98615	114.2876	723.57903
19128	0.59126	12.59365	95.97585	10.02041	114.67976	726.06188
19129	0.58842	12.5331	95.51437	9.97223	114.12835	722.57077
19130	0.61686	13.13888	100.13107	10.45424	119.64476	757.4963
19131	0.60784	12.94691	98.66804	10.30149	117.89662	746.42848
19132	0.60685	12.92563	98.50583	10.28456	117.70279	745.20129
19133	0.59416	12.6554	96.44643	10.06955	115.24205	729.62187
19134	0.61658	13.13287	100.08522	10.44946	119.58998	757.14951
19135	0.61558	13.11163	99.92334	10.43255	119.39655	755.92484
19136	0.61458	13.09028	99.76062	10.41557	119.20212	754.69388
19137	0.61357	13.06878	99.59678	10.39846	119.00634	753.45438
19138	0.61006	12.99418	99.02825	10.3391	118.32703	749.15348
19139	0.61215	13.03852	99.3662	10.37439	118.73084	751.71009
19140	0.61736	13.14955	100.21232	10.46273	119.74184	758.11097
19141	0.59707	12.71734	96.91848	10.11883	115.8061	733.19293
19142	0.59786	12.73413	97.04648	10.13219	115.95904	734.16123
