radius,center,image_name
22,"(1500, 1548)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(910, 1526)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
17,"(822, 1840)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
14,"(1014, 1484)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
14,"(1334, 1610)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1302, 1692)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(888, 1870)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(1518, 1604)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
14,"(1064, 1730)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
15,"(1034, 1802)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
26,"(1372, 1236)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(980, 1558)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(774, 1858)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1414, 1648)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
25,"(1214, 1474)","image_(18, 35.5184, 23.5717, 39.95647, 23.98816, 39.96548, 23.97644).jpeg"
29,"(564, 1534)","image_(18, 35.5184, 23.5717, 39.95647, 23.98816, 39.96548, 23.97644).jpeg"
29,"(722, 1452)","image_(18, 35.5184, 23.5717, 39.95647, 23.98816, 39.96548, 23.97644).jpeg"
